CONTA,PRODUÇÃO,IMPORTAÇÃO,VARIAÇÃO DE ESTOQUES,EXPORTAÇÃO,NÃO-APROVEITADA,REINJEÇÃO,CONSUMO FINAL NÃO-ENERGÉTICO,SETOR ENERGÉTICO,RESIDENCIAL,COMERCIAL,PÚBLICO,AGROPECUÁRIO,RODOVIÁRIO,FERROVIÁRIO,AÉREO,HIDROVIÁRIO,INDUSTRIAL - TOTAL,Ano
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,434,160,-935,0,0,443,0,0,0,0,9,13880,0,0,0,0,2016
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,1605,-7,-406,0,0,311,3567,0,0,0,0,0,0,0,0,6292,2016
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,1042,64,-604,0,0,6917,0,0,0,0,0,0,0,0,0,0,2016
 ALCATRÃO ,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,82,2016
 PETRÓLEO ,126127,15377,-1165,-38050,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
 GÁS NATURAL ,34871,16198,0,0,-1377,-8722,685,5325,312,114,43,0,1553,0,0,0,9384,2015
 CARVÃO VAPOR ,2459,5638,221,0,0,0,0,0,0,0,0,0,0,0,0,0,3855,2015
 CARVÃO METALÚRGICO ,0,7625,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
 URÂNIO U3O8 ,512,2159,-1701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
 ENERGIA HIDRÁULICA ,30938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
 LENHA ,25075,0,0,0,0,0,0,0,6334,94,0,2814,0,0,0,0,7424,2015
 PRODUTOS DA CANA ,50400,0,0,0,0,0,0,13155,0,0,0,0,0,0,0,0,15512,2015
 OUTRAS FONTES PRIMÁRIAS ,16743,0,0,0,0,0,0,0,493,93,0,0,0,0,0,0,7027,2015
 BIODIESEL ,0,0,8,0,0,0,0,0,0,0,0,414,2434,63,0,0,73,2015
 ÓLEO DIESEL ,0,5885,313,-651,0,0,0,824,0,4,2,5884,35427,903,0,344,1039,2015
 ÓLEO COMBUSTÍVEL ,0,339,-28,-7722,0,0,0,242,0,27,9,14,0,0,0,964,2239,2015
 GASOLINA ,0,2260,-3,-474,0,0,0,0,0,0,0,0,23257,0,49,0,0,2015
 GLP ,0,1950,-2,-17,0,0,0,29,6541,396,257,2,0,0,0,0,1033,2015
 NAFTA ,0,6172,66,0,0,0,6802,0,0,0,0,0,0,0,0,0,0,2015
 QUEROSENE ,0,1129,26,-2440,0,0,3,0,3,0,0,0,0,0,3609,0,1,2015
 GÁS DE CIDADE E DE COQUERIA ,0,0,0,0,0,0,0,188,0,0,0,0,0,0,0,0,1148,2015
 COQUE DE CARVÃO MINERAL ,0,1584,44,0,0,0,0,0,0,0,0,0,0,0,0,0,7886,2015
 URÂNIO CONTIDO NO UO2,0,2729,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
 ELETRICIDADE,0,2979,0,-19,0,0,0,3200,11283,7864,3736,2304,0,177,0,0,17031,2015
 CARVÃO VEGETAL ,0,0,0,0,0,0,0,0,474,88,0,8,0,0,0,0,3625,2015
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,432,899,-1108,0,0,490,0,0,0,0,13,15424,0,0,0,0,2015
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,2350,-22,-385,0,0,267,3956,0,0,0,0,0,0,0,0,6996,2015
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,1160,34,-627,0,0,6731,0,0,0,0,0,0,0,0,0,0,2015
 ALCATRÃO ,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,95,2015
 PETRÓLEO ,116705,18082,25,-26800,0,0,0,0,0,0,0,0,0,0,0,0,0,2014
 GÁS NATURAL ,31661,17001,0,0,-1601,-5689,684,5613,310,179,40,0,1594,0,0,0,9561,2014
 CARVÃO VAPOR ,3059,5306,-89,0,0,0,0,0,0,0,0,0,0,0,0,0,3942,2014
 CARVÃO METALÚRGICO ,0,8110,-52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014
 URÂNIO U3O8 ,681,2883,-1818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014
 ENERGIA HIDRÁULICA ,32116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014
 LENHA ,25223,0,0,0,0,0,0,0,6109,97,0,2682,0,0,0,0,7782,2014
 PRODUTOS DA CANA ,49273,0,0,0,0,0,0,12466,0,0,0,0,0,0,0,0,16146,2014
 OUTRAS FONTES PRIMÁRIAS ,14814,0,0,0,0,0,0,0,444,82,0,0,0,0,0,0,6630,2014
 BIODIESEL ,0,0,-23,0,0,0,0,0,0,0,0,327,2080,53,0,0,64,2014
 ÓLEO DIESEL ,0,9561,-180,-794,0,0,0,801,0,6,4,5833,37433,949,0,352,1140,2014
 ÓLEO COMBUSTÍVEL ,0,382,-54,-8110,0,0,0,311,0,21,11,24,0,0,0,996,2614,2014
 GASOLINA ,0,1626,501,-281,0,0,0,0,0,0,0,0,25682,0,58,0,0,2014
 GLP ,0,2277,-10,-11,0,0,0,5,6535,442,257,2,0,0,0,0,1121,2014
 NAFTA ,0,5238,-66,0,0,0,6195,0,0,0,0,0,0,0,0,0,0,2014
 QUEROSENE ,0,1236,-57,-2506,0,0,6,0,3,0,0,0,0,0,3651,0,2,2014
 GÁS DE CIDADE E DE COQUERIA ,0,0,0,0,0,0,0,187,0,0,0,0,0,0,0,0,1200,2014
 COQUE DE CARVÃO MINERAL ,0,1254,-68,0,0,0,0,0,0,0,0,0,0,0,0,0,7733,2014
