Fonte/Tecnologia,Ano 2015,Ano 2030,Ano 2040,Ano 2050,Cenário
Biomassa,12000,13395,13395,13395,36. Estagnação
Eólica,6556,15913,4790,5021,36. Estagnação
Solar,21,2170,0,0,36. Estagnação
Outros,490,490,490,490,36. Estagnação
Pot. Compl.,0,190,5039,5303,36. Estagnação
GD,4,3180,5525,8395,36. Estagnação
Hidro,95237,131940,145081,152053,52. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
Gás Natural,11242,13958,20334,20565,52. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
Carvão,3174,2251,340,0,52. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
Nuclear,1990,3395,3395,3395,52. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
Óleos Comb,5184,0,0,0,52. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
Biomassa,12000,25498,27520,28546,52. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
Eólica,6556,44167,92204,145981,52. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
Solar,21,2170,4719,18291,52. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
Outros,490,490,490,490,52. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
Pot. Compl.,0,6948,30875,59798,52. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
GD,17,13669,27728,49888,52. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
Hidro,95237,132780,135118,135224,24. Expansão de 8.000 MW de Usinas Nucleares
Gás Natural,11242,17501,25627,31016,24. Expansão de 8.000 MW de Usinas Nucleares
Carvão,3174,2251,340,0,24. Expansão de 8.000 MW de Usinas Nucleares
Nuclear,1990,3395,7395,11395,24. Expansão de 8.000 MW de Usinas Nucleares
Óleos Comb,5184,0,0,0,24. Expansão de 8.000 MW de Usinas Nucleares
Biomassa,12000,13395,13395,13395,24. Expansão de 8.000 MW de Usinas Nucleares
Eólica,6556,52747,103295,140875,24. Expansão de 8.000 MW de Usinas Nucleares
Solar,21,6353,26619,69577,24. Expansão de 8.000 MW de Usinas Nucleares
Outros,490,490,490,490,24. Expansão de 8.000 MW de Usinas Nucleares
Pot. Compl.,0,13711,37132,63979,24. Expansão de 8.000 MW de Usinas Nucleares
GD,17,13669,27728,49888,24. Expansão de 8.000 MW de Usinas Nucleares
Hidro,95237,132819,135468,135468,3. Matriz Elétrica com expansão a partir de tecnologias não emissoras de GEE
Gás Natural,11242,14016,14803,14434,3. Matriz Elétrica com expansão a partir de tecnologias não emissoras de GEE
Carvão,3174,2251,340,0,3. Matriz Elétrica com expansão a partir de tecnologias não emissoras de GEE
Nuclear,1990,3395,3395,3395,3. Matriz Elétrica com expansão a partir de tecnologias não emissoras de GEE
Óleos Comb,5184,0,0,0,3. Matriz Elétrica com expansão a partir de tecnologias não emissoras de GEE
Biomassa,12000,15813,15813,15813,3. Matriz Elétrica com expansão a partir de tecnologias não emissoras de GEE
Eólica,6556,55107,120066,188327,3. Matriz Elétrica com expansão a partir de tecnologias não emissoras de GEE
Solar,21,6353,41018,83977,3. Matriz Elétrica com expansão a partir de tecnologias não emissoras de GEE
Outros,490,490,0,0,3. Matriz Elétrica com expansão a partir de tecnologias não emissoras de GEE
Pot. Compl.,0,14277,44793,79697,3. Matriz Elétrica com expansão a partir de tecnologias não emissoras de GEE
GD,17,13669,27728,49888,3. Matriz Elétrica com expansão a partir de tecnologias não emissoras de GEE
Hidro,95237,138095,156179,162552,62. Capacidade Instalada de GD alcança 75 GW em 2050
Gás Natural,11242,16944,24345,25182,62. Capacidade Instalada de GD alcança 75 GW em 2050
Carvão,3174,2251,340,0,62. Capacidade Instalada de GD alcança 75 GW em 2050
Nuclear,1990,3395,3395,3395,62. Capacidade Instalada de GD alcança 75 GW em 2050
Óleos Comb,5184,0,0,0,62. Capacidade Instalada de GD alcança 75 GW em 2050
Biomassa,12000,19976,19976,19976,62. Capacidade Instalada de GD alcança 75 GW em 2050
Eólica,6556,42973,93549,140101,62. Capacidade Instalada de GD alcança 75 GW em 2050
Solar,21,2170,11586,22432,62. Capacidade Instalada de GD alcança 75 GW em 2050
Outros,490,490,490,490,62. Capacidade Instalada de GD alcança 75 GW em 2050
Pot. Compl.,0,12795,30303,61555,62. Capacidade Instalada de GD alcança 75 GW em 2050
GD,17,20503,41593,74831,62. Capacidade Instalada de GD alcança 75 GW em 2050
Hidro,95237,132780,136718,136912,32. UHEs em áreas de interferência com CAPEX dobrado
Gás Natural,11242,17502,25627,32495,32. UHEs em áreas de interferência com CAPEX dobrado
Carvão,3174,2251,340,0,32. UHEs em áreas de interferência com CAPEX dobrado
Nuclear,1990,3395,3395,3395,32. UHEs em áreas de interferência com CAPEX dobrado
Óleos Comb,5184,0,0,0,32. UHEs em áreas de interferência com CAPEX dobrado
Biomassa,12000,13395,13395,13395,32. UHEs em áreas de interferência com CAPEX dobrado
