CONTA,    PRODUÇÃO  ,    IMPORTAÇÃO  ,VARIAÇÃO DE ESTOQUES,    EXPORTAÇÃO  ,    NÃO-APROVEITADA  ,    REINJEÇÃO  ,CONSUMO FINAL NÃO-ENERGÉTICO,SETOR ENERGÉTICO,    RESIDENCIAL  ,    COMERCIAL  ,    PÚBLICO,    AGROPECUÁRIO  ,      RODOVIÁRIO  ,      FERROVIÁRIO  ,      AÉREO ,      HIDROVIÁRIO  ,   INDUSTRIAL - TOTAL  ,CONSUMO NÃO-IDENTIFICADO,Ano
 URÂNIO CONTIDO NO UO2,0,3062,-4593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
 ELETRICIDADE,0,3139,0,-13,0,0,0,3086,11561,7757,3724,2471,0,176,0,0,17172,0,2017
 CARVÃO VEGETAL ,0,0,0,0,0,0,0,0,384,84,0,9,0,0,0,0,3404,0,2017
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,974,-212,-728,0,0,490,0,0,0,0,8,13848,0,0,0,0,0,2017
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,1738,4,-578,0,0,276,3698,0,0,0,0,0,0,0,0,6546,0,2017
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,1135,-10,-682,0,0,6307,0,0,0,0,0,0,0,0,0,0,0,2017
 ALCATRÃO ,0,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0,90,0,2017
 ENERGIA SECUNDÁRIA TOTAL ,0,36272,-5187,-12170,0,0,14358,7760,18554,8267,3992,9155,75374,1203,3334,1241,40159,0,2017
 TOTAL  ,304177,72436,-4602,-66052,-1346,-9959,15048,24982,26000,8563,4035,12291,77109,1203,3334,1241,85018,0,2017
 PETRÓLEO ,130373,8008,-500,-43812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
 GÁS NATURAL ,37610,10320,0,0,-1458,-10903,677,5528,356,133,43,0,1593,0,0,0,8856,0,2016
 CARVÃO VAPOR ,2635,4992,-150,0,0,0,0,0,0,0,0,0,0,0,0,0,3257,0,2016
 CARVÃO METALÚRGICO ,0,7916,-222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
 URÂNIO U3O8 ,0,4173,647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
 ENERGIA HIDRÁULICA ,32758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
 LENHA ,23502,0,0,0,0,0,0,0,6063,89,0,2618,0,0,0,0,7227,0,2016
 PRODUTOS DA CANA ,50658,0,0,0,0,0,0,12236,0,0,0,0,0,0,0,0,17553,0,2016
 OUTRAS FONTES PRIMÁRIAS ,18324,0,0,0,0,0,0,0,539,104,0,0,0,0,0,0,7433,0,2016
 ENERGIA PRIMÁRIA TOTAL ,295862,35410,-225,-43812,-1458,-10903,677,17765,6959,327,43,2618,1593,0,0,0,44329,0,2016
 BIODIESEL ,0,0,-1,0,0,0,0,0,0,0,0,404,2408,62,0,0,69,0,2016
 ÓLEO DIESEL ,0,7181,-211,-705,0,0,0,645,0,7,2,5747,34262,885,0,327,989,0,2016
 ÓLEO COMBUSTÍVEL ,0,62,-1,-6699,0,0,0,202,0,17,0,11,0,0,0,866,2353,0,2016
 GASOLINA ,0,2933,-29,-560,0,0,0,0,0,0,0,0,24181,0,43,0,0,0,2016
 GLP ,0,2110,45,0,0,0,0,0,6573,396,258,18,0,0,0,0,1020,0,2016
 NAFTA ,0,6630,96,0,0,0,6276,0,0,0,0,0,0,0,0,0,0,0,2016
 QUEROSENE ,0,785,49,-2281,0,0,2,0,2,0,0,0,0,0,3303,0,1,0,2016
 GÁS DE CIDADE E DE COQUERIA ,0,0,0,0,0,0,0,206,0,0,0,0,0,0,0,0,1113,0,2016
 COQUE DE CARVÃO MINERAL ,0,763,-19,0,0,0,0,0,0,0,0,0,0,0,0,0,7110,0,2016
 URÂNIO CONTIDO NO UO2,0,2180,-2789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
 ELETRICIDADE,0,3552,0,-44,0,0,0,3032,11428,7645,3727,2428,0,172,0,0,16874,0,2016
 CARVÃO VEGETAL ,0,0,0,0,0,0,0,0,429,84,0,7,0,0,0,0,3221,0,2016
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,434,160,-935,0,0,442,0,0,0,0,8,13880,0,0,0,0,0,2016
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,1605,-6,-406,0,0,311,3567,0,0,0,0,0,0,0,0,6292,0,2016
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,1042,64,-603,0,0,6916,0,0,0,0,0,0,0,0,0,0,0,2016
 ALCATRÃO ,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,82,0,2016
 ENERGIA SECUNDÁRIA TOTAL ,0,29283,-2644,-12237,0,0,14093,7654,18433,8151,3989,8626,74732,1120,3347,1194,39127,0,2016
 TOTAL  ,295862,64694,-2869,-56049,-1458,-10903,14771,25419,25392,8479,4032,11244,76325,1120,3347,1194,83456,0,2016
 PETRÓLEO ,126127,15376,-1164,-38050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
 GÁS NATURAL ,34871,16198,0,0,-1376,-8721,684,5324,311,114,43,0,1552,0,0,0,9384,0,2015
