Fonte/Tecnologia,Ano 2015,Ano 2030,Ano 2040,Ano 2050,Cenário
Nuclear,1651.0,2983,2983,2983,42. Sobrecusto de 100 por cento no CAPEX de PCH
Óleos Comb,3820.0,0,0,0,42. Sobrecusto de 100 por cento no CAPEX de PCH
Biomassa,3951.0,6644,8001,8377,42. Sobrecusto de 100 por cento no CAPEX de PCH
Eólica,573.0,11014,19779,37497,42. Sobrecusto de 100 por cento no CAPEX de PCH
Solar,3.0,1385,7517,7517,42. Sobrecusto de 100 por cento no CAPEX de PCH
Outros,451.0,451,451,451,42. Sobrecusto de 100 por cento no CAPEX de PCH
Pot. Compl.,0.0,10071,25095,49629,42. Sobrecusto de 100 por cento no CAPEX de PCH
GD,0.0,903,2004,3733,42. Sobrecusto de 100 por cento no CAPEX de PCH
Hidro,63958.0,95534,107591,107427,31. Potencial Inventariado Total exceto UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI)
Gás Natural,10475.0,18468,27643,35649,31. Potencial Inventariado Total exceto UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI)
Carvão,2380.0,2635,1771,1771,31. Potencial Inventariado Total exceto UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI)
Nuclear,1651.0,2983,2983,2983,31. Potencial Inventariado Total exceto UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI)
Óleos Comb,3820.0,0,0,0,31. Potencial Inventariado Total exceto UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI)
Biomassa,3951.0,6644,8001,8377,31. Potencial Inventariado Total exceto UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI)
Eólica,573.0,11014,19779,37497,31. Potencial Inventariado Total exceto UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI)
Solar,3.0,1385,7517,7517,31. Potencial Inventariado Total exceto UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI)
Outros,451.0,451,451,451,31. Potencial Inventariado Total exceto UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI)
Pot. Compl.,0.0,10071,25095,49629,31. Potencial Inventariado Total exceto UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI)
GD,0.0,903,2004,3733,31. Potencial Inventariado Total exceto UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI)
Hidro,64463.0,82430,86840,87234,36. Estagnaç╞o
Gás Natural,10146.0,6921,7372,7022,36. Estagnaç╞o
Carvão,2106.0,1688,255,0,36. Estagnaç╞o
Nuclear,1651.0,2983,2983,2983,36. Estagnaç╞o
Óleos Comb,4365.0,0,0,0,36. Estagnaç╞o
Biomassa,4014.0,4944,4771,4554,36. Estagnaç╞o
Eólica,1271.0,4304,1437,1506,36. Estagnaç╞o
Solar,4.0,434,0,0,36. Estagnaç╞o
Outros,451.0,451,451,451,36. Estagnaç╞o
Pot. Compl.,0.0,190,5039,5302,36. Estagnaç╞o
GD,0.0,406,811,1248,36. Estagnaç╞o
Hidro,63695.0,95448,93174,94709,52. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
Gás Natural,10651.0,19183,33889,39177,52. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
Carvão,2108.0,2635,1821,1551,52. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
Nuclear,1651.0,2983,2983,2983,52. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
Óleos Comb,4156.0,0,0,0,52. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
Biomassa,4211.0,6644,7865,7648,52. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
Eólica,337.0,8006,20916,37033,52. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
Solar,3.0,1385,11431,17481,52. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
Outros,451.0,451,451,451,52. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
Pot. Compl.,0.0,12450,28302,50268,52. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
GD,0.0,903,2004,3733,52. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
Hidro,62431.0,95796,93700,91331,24. Expans╞o de 8.000 MW de Usinas Nucleares
Gás Natural,10651.0,19540,31480,38224,24. Expans╞o de 8.000 MW de Usinas Nucleares
Carvão,2380.0,2635,1821,1821,24. Expans╞o de 8.000 MW de Usinas Nucleares
Nuclear,1651.0,2983,6303,9624,24. Expans╞o de 8.000 MW de Usinas Nucleares
Óleos Comb,4244.0,0,0,0,24. Expans╞o de 8.000 MW de Usinas Nucleares
Biomassa,4183.0,6644,7865,7478,24. Expans╞o de 8.000 MW de Usinas Nucleares
Eólica,1269.0,10631,19029,34777,24. Expans╞o de 8.000 MW de Usinas Nucleares
